List.Year,Date.Recorded,Town,Assessed.Value,Sale.Amount,Sales.Ratio,Property.Type,County,Longitude,Latitude
2016,11/23/2016,Newtown,284330.0,515000.0,0.552097087,Single Family,Fairfield,-73.3123996,41.404165
2019,05/06/2020,Wethersfield,164510.0,279900.0,0.5877,Single Family,Hartford,-72.6814278,41.7054795
2020,09/17/2021,New Canaan,231980.0,385000.0,0.6025,Residential,Fairfield,-73.4941,41.1517961
2019,02/14/2020,Hamden,77420.0,85400.0,0.9066,Single Family,New Haven,-72.9413374,41.3576662
2017,07/23/2018,Woodbridge,251160.0,445000.0,0.5644,Single Family,New Haven,-73.0206265,41.3129271
2013,07/17/2014,East Hartford,152640.0,150000.0,1.0176,Single Family,Hartford,-72.6323256,41.7863995
2016,10/12/2016,Newington,131560.0,200000.0,0.6578,Single Family,Hartford,-72.7424804,41.6947351
2013,10/29/2013,Thompson,219100.0,325000.0,0.674153846,Single Family,Windham,-71.8392748,42.0125119
2019,06/29/2020,Burlington,237790.0,335500.0,0.7088,Single Family,Hartford,-73.013385,41.784487
2010,10/04/2010,Stratford,198100.0,240000.0,0.825416667,Single Family,Fairfield,-73.1554742,41.2161073
2013,08/12/2014,Cromwell,161060.0,192000.0,0.838854167,Single Family,Middlesex,-72.6243104,41.6115914
2015,03/30/2016,Brookfield,282340.0,415000.0,0.680337349,Single Family,Fairfield,-73.3877929,41.4624296
2010,10/27/2010,Manchester,267400.0,566442.0,0.472069515,Single Family,Hartford,-72.5624901,41.7403737
2010,01/31/2011,Old Lyme,201500.0,370000.0,0.544594595,Single Family,New London,-72.2848371,41.2836091
2017,10/02/2017,Woodbridge,345240.0,440000.0,0.784636364,Single Family,New Haven,-73.0122319,41.3685836
2014,04/10/2015,Montville,190390.0,275000.0,0.692327273,Single Family,New London,-72.194869,41.463449
2013,07/03/2014,Hamden,185570.0,170000.0,1.091588235,Single Family,New Haven,-72.9089129,41.4503523
2011,06/22/2012,Simsbury,217360.0,260000.0,0.836,Single Family,Hartford,-72.7656598,41.911593
